Time	"Time Code"	"Country Name"	"Country Code"	"Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]"	"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]"	"Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]"	"Incidence of HIV, all (per 1,000 uninfected population) [SH.HIV.INCD.TL.P3]"	"Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]"	"Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]"	"Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]"	"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]"	"Number of infant deaths [SH.DTH.IMRT]"	"Number of maternal deaths [SH.MMR.DTHS]"	"Number of neonatal deaths [SH.DTH.NMRT]"	"Number of surgical procedures (per 100,000 population) [SH.SGR.PROC.P5]"	"People using safely managed drinking water services, rural (% of rural population) [SH.H2O.SMDW.RU.ZS]"	"People using safely managed drinking water services, urban (% of urban population) [SH.H2O.SMDW.UR.ZS]"	"People using safely managed drinking water services (% of population) [SH.H2O.SMDW.ZS]"	"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]"	"Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]"	"Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]"	"Population ages 65 and above, total [SP.POP.65UP.TO]"	"Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS]"	"Poverty gap at $3.20 a day (2011 PPP) (%) [SI.POV.LMIC.GP]"	"Poverty gap at $5.50 a day (2011 PPP) (%) [SI.POV.UMIC.GP]"	"Pregnant women receiving prenatal care (%) [SH.STA.ANVC.ZS]"
2014	"YR2014"	"Australia"	"AUS"	""	"1.826"	"3.79"	"0.04"	""	"6.5"	"82.3"	"44.801"	"76.85"	"3.3"	"1044"	"20"	"746"	""	""	"98.7907681838322"	""	"3.4314"	"18.8832384093454"	"66.5514444053048"	"3419308"	"0.4"	"0.4"	"0.6"	""
2014	"YR2014"	"Austria"	"AUT"	""	"1.46"	"7.58"	""	""	"7.5"	"81.490243902439"	"46.009"	"85.621"	"3.1"	"256"	"4"	"190"	"13795"	""	""	"98.874676953401"	"5.0359"	"14.174134269909"	"67.1662479887325"	"1594717"	"0.1"	"0.2"	"0.3"	""
2014	"YR2014"	"Azerbaijan"	"AZE"	""	"1.97"	"4.82"	"0.07"	"0"	"76"	"72.022"	"88.587"	"166.001"	"25"	"4436"	"49"	"2755"	""	""	""	"71.9262809740936"	"3.446"	"22.75668020462"	"71.5542023446756"	"542462"	""	""	""	""
2014	"YR2014"	"Bahamas, The"	"BHS"	""	"1.794"	"2.76"	""	""	"16"	"72.847"	"119.986"	"200.314"	"12.3"	"65"	"4"	"40"	""	""	""	""	""	"24.5593349755688"	"68.8843141328484"	"24300"	""	""	""	""
2014	"YR2014"	"Bahrain"	"BHR"	""	"2.078"	"2.03"	""	""	"16"	"76.624"	"59.743"	"75.461"	"6.6"	"139"	"3"	"68"	""	""	""	"98.9832621252058"	"0.9573"	"20.674962109163"	"77.0301816889022"	"30661"	""	""	""	""
2014	"YR2014"	"Bangladesh"	"BGD"	""	"2.152"	"0.6"	""	"3.2983569426378"	"221"	"71.231"	"112.278"	"152.214"	"32.1"	"96509"	"6500"	"70921"	""	"61.1239483682828"	"44.6084652897156"	"55.5854809694361"	"0.4887"	"29.8125546807414"	"65.1132097229035"	"7840717"	""	""	""	"63.9"
2014	"YR2014"	"Barbados"	"BRB"	""	"1.62"	"5.93"	"0.23"	""	"2"	"78.717"	"75.163"	"125.518"	"13.3"	"41"	"1"	"30"	""	""	""	""	""	"18.6043408958452"	"67.0581337377908"	"40837"	""	""	""	""
2014	"YR2014"	"Belarus"	"BLR"	""	"1.696"	"10.83"	"0.24"	""	"51"	"72.9707317073171"	"89.986"	"261.217"	"3.2"	"368"	"3"	"199"	"8741"	""	""	"94.4490434298034"	"5.012"	"15.9395805755781"	"69.8574440439643"	"1345662"	"0"	"0"	"0.1"	""
2014	"YR2014"	"Belgium"	"BEL"	""	"1.74"	"5.85"	""	""	"9.1"	"81.2878048780488"	"53.212"	"91.363"	"3.3"	"416"	"7"	"284"	""	""	""	"99.523186203856"	"2.9723"	"16.9768450538092"	"65.0459829229075"	"2015071"	"0.1"	"0.1"	"0.1"	""
2014	"YR2014"	"Belize"	"BLZ"	""	"2.489"	"1.27"	""	"0.0779256998958257"	"23"	"73.782"	"131.183"	"222.454"	"13.9"	"108"	"4"	"80"	"1964"	""	""	""	"0.5659"	"32.8161170005037"	"62.8569245484851"	"15290"	""	""	""	""
2014	"YR2014"	"Benin"	"BEN"	""	"5.116"	""	"0.43"	"399.237511153815"	"61"	"60.345"	"222.272"	"269.111"	"65.5"	"25051"	"1700"	"12783"	""	""	""	""	""	"43.2417853327998"	"53.529916464175"	"332090"	""	""	""	"82.8"
2014	"YR2014"	"Bermuda"	"BMU"	""	"1.63"	""	""	""	"0"	"80.7973170731707"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2014	"YR2014"	"Bhutan"	"BTN"	""	"2.067"	""	""	"0.0357076408713416"	"185"	"70.046"	"214.465"	"209.638"	"28.5"	"367"	"28"	"249"	""	"27.0611763698444"	"48.8560209645055"	"35.3253453131239"	"0.3393"	"28.028314941138"	"66.3295575442769"	"40570"	""	""	""	""
